sample_id,user_id,exercise_id,training_level,primary_goal,secondary_goal,gender,age,height_cm,weight_kg,bmi,bmi_category,training_days_per_week,preferred_split,gym_access_level,available_equipment_count,injury_count,limitation_count,exercise_category,exercise_difficulty,minimum_training_level,primary_muscle_count,secondary_muscle_count,equipment_count,technical_complexity_score,fatigue_score,mobility_requirement,balance_requirement,estimated_MET,primary_muscles,secondary_muscles,equipment,movement_pattern,joint_stress_areas,contraindications,joint_stress_count,contraindication_count,pain_rate,pain_feedback,pain_area_count,pain_during_exercise,pain_match_count,contraindication_match_count,risk_flag_count,risk_score,safety_label
SAFE0000123,U000123,EX0095,Intermediate,General Fitness,Mobility and Flexibility,Male,33,171.0,65.8,22.5,Normal,3,Push Pull Legs,Home Gym,3,0,0,Resistance Training,Intermediate,Intermediate,2,3,1,4.0,4.5,3.5,3.5,5.5,"[""Anterior Deltoid"", ""Triceps Brachii""]","[""Quadriceps"", ""Gluteus Maximus"", ""Lateral Deltoid""]","[""Barbell""]",Vertical Push,"[""Shoulder"", ""Knee"", ""Lower Back""]","[""Shoulder impingement"", ""Lumbar spine instability""]",3,2,0.0,,0,,0,0,0,0.0,Safe
SAFE0000124,U000124,EX0004,Beginner,Muscular Endurance,Rehabilitation and Joint Health,Male,33,179.0,81.4,25.4,Overweight,5,Push Pull Legs,Home Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0526,,0,,0,0,0,0.0,Safe
SAFE0000125,U000125,EX0194,Beginner,Mobility and Flexibility,Rehabilitation and Joint Health,Male,37,167.0,49.3,17.68,Underweight,4,Body Part Split,Bodyweight Only,1,0,0,Bodyweight,Beginner,Beginner,3,4,1,4.5,3.0,1.0,3.0,8.0,"[""Quadriceps"", ""Pectoralis Major"", ""Gluteus Maximus""]","[""Triceps Brachii"", ""Anterior Deltoid"", ""Hamstrings"", ""Calves""]","[""Bodyweight""]",Total Body Integration,"[""Wrist"", ""Knee"", ""Lower Back""]",[],3,0,0.0556,,0,,0,0,2,0.35,Monitor
SAFE0000126,U000126,EX0004,Beginner,Fat Loss,Mobility and Flexibility,Female,34,170.0,69.8,24.15,Normal,4,Upper Lower,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0732,,0,,0,0,0,0.0,Safe
SAFE0000127,U000127,EX0004,Beginner,Strength,Athletic Performance,Female,18,169.0,51.0,17.86,Underweight,2,Auto,Bodyweight Only,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0312,,0,,0,0,0,0.0,Safe
SAFE0000128,U000128,EX0004,Intermediate,Muscle Gain,Muscular Endurance,Female,31,166.0,59.0,21.41,Normal,6,Chest Back Legs,Bodyweight Only,2,1,1,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.027,,0,,0,0,0,0.0,Safe
SAFE0000129,U000129,EX0026,Beginner,Muscle Gain,Fat Loss,Female,25,163.0,46.4,17.46,Underweight,4,Chest Back Legs,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.0286,,0,,0,0,0,0.0,Safe
SAFE0000130,U000130,EX0227,Beginner,Fat Loss,Rehabilitation and Joint Health,Female,28,170.0,63.7,22.04,Normal,2,Auto,Home Gym,4,0,0,Bodyweight,Beginner,Beginner,2,3,1,3.5,1.5,2.5,3.0,6.5,"[""Core"", ""Hip Flexors""]","[""Shoulders (Deltoids)"", ""Triceps Brachii"", ""Quadriceps""]","[""Mat""]",Total Body Integration,"[""Wrist"", ""Shoulder""]","[""Wrist pain""]",2,1,0.0,,0,,0,0,0,0.0,Safe
SAFE0000131,U000131,EX0160,Beginner,General Fitness,Athletic Performance,Female,39,168.0,46.2,16.37,Underweight,4,Push Pull Legs,Bodyweight Only,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,1.5,1.5,1.0,3.0,"[""Rectus Abdominis""]","[""Obliques"", ""Hip Flexors""]","[""Mat""]",Trunk Flexion,"[""Lower Back""]","[""Lumbar disc herniation""]",1,1,0.0,,0,,0,0,0,0.0,Safe
SAFE0000132,U000132,EX0004,Advanced,Fat Loss,Mobility and Flexibility,Female,29,168.0,79.7,28.24,Overweight,6,Push Pull Legs,Commercial Gym,6,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0556,,0,,0,0,0,0.0,Safe
SAFE0000133,U000133,EX0026,Beginner,Mobility and Flexibility,Fat Loss,Female,24,162.0,52.9,20.16,Normal,6,Upper Lower,Commercial Gym,6,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.0488,,0,,0,0,0,0.0,Safe
SAFE0000134,U000134,EX0004,Beginner,Muscle Gain,Mobility and Flexibility,Female,31,162.0,58.5,22.29,Normal,2,Auto,Commercial Gym,5,1,1,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000135,U000135,EX0180,Beginner,Strength,Muscular Endurance,Female,20,169.0,61.8,21.64,Normal,6,Auto,Bodyweight Only,3,0,0,Bodyweight,Beginner,Beginner,3,2,1,2.0,1.0,1.5,1.5,2.0,"[""Erector Spinae"", ""Gluteus Maximus"", ""Transverse Abdominis""]","[""Deltoids"", ""Hamstrings""]","[""Mat""]",Core Anti-Rotation,"[""Lower Back"", ""Wrist""]","[""None""]",2,1,0.027,,0,,0,0,0,0.0,Safe
SAFE0000136,U000136,EX0277,Intermediate,Rehabilitation and Joint Health,Athletic Performance,Female,30,171.0,68.1,23.29,Normal,4,Body Part Split,Home Gym,4,0,0,Bodyweight,Beginner,Beginner,3,2,1,2.5,2.0,2.0,3.0,3.0,"[""Triceps Brachii"", ""Gluteus Maximus"", ""Hamstrings""]","[""Core"", ""Shoulders (Anterior Deltoid)""]","[""Bodyweight""]",Gait,"[""Wrist"", ""Shoulder""]",[],2,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000137,U000137,EX0004,Intermediate,Muscular Endurance,Muscle Gain,Female,23,174.0,67.5,22.29,Normal,5,Chest Back Legs,Home Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.05,,0,,0,0,0,0.0,Safe
SAFE0000138,U000138,EX0004,Beginner,General Fitness,Fat Loss,Female,39,171.0,72.8,24.9,Normal,3,Upper Lower,Commercial Gym,7,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0526,,0,,0,0,0,0.0,Safe
SAFE0000139,U000139,EX0004,Intermediate,Muscle Gain,Muscular Endurance,Female,22,167.0,46.8,16.78,Underweight,4,Push Pull Legs,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000140,U000140,EX0026,Intermediate,Mobility and Flexibility,General Fitness,Female,24,168.0,63.0,22.32,Normal,5,Chest Back Legs,Home Gym,2,1,1,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.0488,,0,,0,0,0,0.0,Safe
SAFE0000141,U000141,EX0061,Beginner,Muscle Gain,Muscular Endurance,Female,28,175.0,67.2,21.94,Normal,4,Auto,Limited Gym,4,0,0,Resistance Training,Beginner,Beginner,3,1,2,1.5,1.0,2.0,1.0,2.0,"[""Extensor Carpi Radialis Longus"", ""Extensor Carpi Radialis Brevis"", ""Extensor Carpi Ulnaris""]","[""Extensor Digitorum""]","[""Barbell"", ""Bench""]",Wrist Extension,"[""Wrist""]","[""Acute wrist pain"", ""Tennis elbow""]",1,2,0.1026,,0,,0,0,0,0.0,Safe
SAFE0000142,U000142,EX0179,Beginner,Muscular Endurance,Mobility and Flexibility,Other,27,177.0,79.6,25.41,Overweight,6,Chest Back Legs,Bodyweight Only,4,1,1,Bodyweight,Beginner,Beginner,2,2,1,2.5,1.5,1.5,1.5,2.5,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Hip Flexors""]","[""Mat""]",Core Anti-Extension,"[""Lower Back""]","[""None""]",1,1,0.0,,0,,0,0,0,0.0,Safe
SAFE0000143,U000143,EX0004,Advanced,Muscular Endurance,Mobility and Flexibility,Female,33,176.0,53.6,17.3,Underweight,4,Upper Lower,Limited Gym,6,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000144,U000144,EX0011,Intermediate,Athletic Performance,Mobility and Flexibility,Female,22,155.0,50.2,20.89,Normal,3,Upper Lower,Commercial Gym,4,0,0,Resistance Training,Intermediate,Intermediate,1,4,1,4.0,4.0,3.0,2.0,6.0,"[""Latissimus Dorsi""]","[""Biceps Brachii"", ""Brachialis"", ""Rhomboids"", ""Posterior Deltoid""]","[""Pull-up Bar""]",Vertical Pull,"[""Shoulder"", ""Elbow"", ""Wrist""]","[""Acute shoulder or elbow pain"", ""Inability to control the hanging position"", ""Painful overhead range""]",3,3,0.025,,0,,0,0,0,0.0,Safe
SAFE0000145,U000145,EX0004,Advanced,Muscular Endurance,Rehabilitation and Joint Health,Female,18,163.0,54.3,20.44,Normal,4,Auto,Commercial Gym,6,1,1,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0526,,0,,0,0,0,0.0,Safe
SAFE0000146,U000146,EX0260,Advanced,Athletic Performance,Strength,Female,34,157.0,56.0,22.72,Normal,4,Full Body,Limited Gym,5,0,0,Resistance Training,Intermediate,Intermediate,2,3,1,3.5,4.5,3.0,4.0,4.5,"[""Anterior Deltoid"", ""Triceps Brachii""]","[""Quadriceps"", ""Gluteus Maximus"", ""Lateral Deltoid""]","[""Dumbbell""]",Vertical Push,"[""Shoulder"", ""Knee"", ""Lower Back""]","[""Shoulder impingement""]",3,1,0.0278,,0,,0,0,0,0.0,Safe
SAFE0000147,U000147,EX0037,Beginner,Muscle Gain,Fat Loss,Female,19,159.0,50.9,20.13,Normal,2,Upper Lower,Limited Gym,6,1,1,Resistance Training,Beginner,Beginner,2,1,1,1.5,2.0,1.0,1.5,3.0,"[""Brachioradialis"", ""Brachialis""]","[""Biceps Brachii""]","[""Dumbbell""]",Elbow Flexion,"[""Elbow""]","[""Elbow pain""]",1,1,0.0,,0,,0,0,0,0.0,Safe
SAFE0000148,U000148,EX0224,Intermediate,Muscular Endurance,Mobility and Flexibility,Female,29,171.0,61.5,21.03,Normal,2,Auto,Bodyweight Only,3,1,1,Bodyweight,Intermediate,Intermediate,2,2,1,2.5,3.0,3.0,3.0,4.5,"[""Anterior Deltoid"", ""Lateral Deltoid""]","[""Triceps Brachii"", ""Upper Trapezius""]","[""Mat""]",Vertical Push,"[""Shoulder"", ""Wrist"", ""Neck""]","[""High blood pressure"", ""Shoulder instability""]",3,2,0.0312,,0,,0,0,1,0.55,Review
SAFE0000149,U000149,EX0004,Beginner,Strength,General Fitness,Female,27,151.0,49.4,21.67,Normal,3,Auto,Home Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0541,Mild Discomfort,1,,0,0,0,0.0,Safe
SAFE0000150,U000150,EX0004,Intermediate,Muscle Gain,Muscular Endurance,Female,27,171.0,49.2,16.83,Underweight,3,Chest Back Legs,Limited Gym,5,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0286,,0,,0,0,0,0.0,Safe
SAFE0000151,U000151,EX0004,Advanced,Muscle Gain,Athletic Performance,Female,23,162.0,80.4,30.64,Obese,5,Upper Lower,Home Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000152,U000152,EX0242,Intermediate,Strength,Muscle Gain,Prefer not to say,23,159.0,71.4,28.24,Overweight,4,Auto,Limited Gym,5,0,0,Resistance Training,Intermediate,Intermediate,2,1,1,2.0,3.5,2.0,1.5,3.0,"[""Pectoralis Major"", ""Triceps Brachii""]","[""Anterior Deltoid""]","[""Dumbbell""]",Horizontal Push,"[""Wrist"", ""Elbow""]","[""Wrist pain""]",2,1,0.0789,,0,,0,0,0,0.0,Safe
SAFE0000153,U000153,EX0004,Beginner,Muscular Endurance,Fat Loss,Female,21,172.0,57.1,19.3,Normal,2,Full Body,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0625,,0,,0,0,0,0.0,Safe
SAFE0000154,U000154,EX0194,Beginner,Rehabilitation and Joint Health,General Fitness,Female,50,153.0,81.0,34.6,Obese,3,Auto,Bodyweight Only,1,0,0,Bodyweight,Beginner,Beginner,3,4,1,4.5,3.0,1.0,3.0,8.0,"[""Quadriceps"", ""Pectoralis Major"", ""Gluteus Maximus""]","[""Triceps Brachii"", ""Anterior Deltoid"", ""Hamstrings"", ""Calves""]","[""Bodyweight""]",Total Body Integration,"[""Wrist"", ""Knee"", ""Lower Back""]",[],3,0,0.0488,,0,,0,0,2,0.35,Monitor
SAFE0000155,U000155,EX0102,Beginner,Mobility and Flexibility,Fat Loss,Female,24,166.0,47.0,17.06,Underweight,3,Auto,Home Gym,5,0,0,Resistance Training,Beginner,Beginner,1,1,2,2.0,1.5,2.0,2.0,2.0,"[""Triceps Brachii""]","[""Anconeus""]","[""Dumbbell"", ""Bench""]",Elbow Extension,"[""Elbow""]","[""Elbow pain""]",1,1,0.0256,,0,,0,0,0,0.0,Safe
SAFE0000156,U000156,EX0004,Beginner,Mobility and Flexibility,Athletic Performance,Other,31,167.0,89.2,31.98,Obese,3,Chest Back Legs,Commercial Gym,7,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0541,,0,,0,0,0,0.0,Safe
SAFE0000157,U000157,EX0062,Intermediate,Rehabilitation and Joint Health,Strength,Female,21,162.0,81.1,30.9,Obese,3,Auto,Commercial Gym,6,0,0,Resistance Training,Beginner,Beginner,1,1,1,1.0,1.5,2.0,1.0,2.5,"[""Gastrocnemius""]","[""Soleus""]","[""Leg Press Machine""]",Ankle Plantarflexion,"[""Ankle"", ""Achilles Tendon""]","[""Achilles tendinopathy""]",2,1,0.0571,,0,,0,0,0,0.0,Safe
SAFE0000158,U000158,EX0004,Beginner,Muscle Gain,Strength,Female,25,175.0,59.4,19.4,Normal,2,Auto,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0625,,0,,0,0,0,0.0,Safe
SAFE0000159,U000159,EX0009,Advanced,Strength,Fat Loss,Female,22,151.0,55.0,24.12,Normal,2,Chest Back Legs,Commercial Gym,7,0,0,Resistance Training,Beginner,Beginner,2,3,1,1.0,1.0,1.0,1.0,3.5,"[""Latissimus Dorsi"", ""Rhomboids""]","[""Middle Trapezius"", ""Posterior Deltoid"", ""Biceps Brachii""]","[""Row Machine""]",Horizontal Pull,"[""Shoulder"", ""Elbow""]","[""Acute shoulder pain"", ""Pain during pulling""]",2,2,0.0,,0,,0,0,0,0.0,Safe
SAFE0000160,U000160,EX0004,Intermediate,Muscular Endurance,Strength,Female,36,154.0,72.0,30.36,Obese,4,Full Body,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0278,,0,,0,0,0,0.0,Safe
SAFE0000161,U000161,EX0026,Beginner,Rehabilitation and Joint Health,Muscle Gain,Female,29,167.0,59.8,21.44,Normal,4,Auto,Limited Gym,6,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.0244,,0,,0,0,0,0.0,Safe
SAFE0000162,U000162,EX0141,Advanced,Rehabilitation and Joint Health,Muscular Endurance,Female,22,165.0,61.5,22.59,Normal,6,Body Part Split,Commercial Gym,6,0,0,Resistance Training,Beginner,Beginner,3,2,1,1.5,1.0,1.5,1.5,2.0,"[""Posterior Deltoid"", ""Rhomboids"", ""Middle Trapezius""]","[""Infraspinatus"", ""Teres Minor""]","[""Resistance Band""]",Horizontal Pull,"[""Shoulder""]","[""None""]",1,1,0.0,,0,,0,0,0,0.0,Safe
SAFE0000163,U000163,EX0004,Intermediate,Muscular Endurance,Rehabilitation and Joint Health,Female,22,151.0,76.1,33.38,Obese,2,Body Part Split,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000164,U000164,EX0004,Beginner,Fat Loss,Rehabilitation and Joint Health,Female,24,169.0,79.2,27.73,Overweight,5,Body Part Split,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0286,,0,,0,0,0,0.0,Safe
SAFE0000165,U000165,EX0004,Advanced,Muscular Endurance,Athletic Performance,Female,27,163.0,56.3,21.19,Normal,2,Upper Lower,Limited Gym,6,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0312,,0,,0,0,0,0.0,Safe
SAFE0000166,U000166,EX0340,Beginner,Mobility and Flexibility,Muscular Endurance,Female,28,167.0,61.6,22.09,Normal,5,Upper Lower,Limited Gym,5,0,0,Resistance Training,Beginner,Beginner,1,1,1,2.0,1.5,2.0,1.5,2.0,"[""Triceps Brachii""]","[""Anconeus""]","[""Cable Machine""]",Elbow Extension,"[""Elbow""]","[""Elbow tendinopathy""]",1,1,0.0,No Pain,0,,0,0,0,0.0,Safe
SAFE0000167,U000167,EX0004,Intermediate,Muscle Gain,Fat Loss,Female,26,176.0,55.5,17.92,Underweight,2,Body Part Split,Bodyweight Only,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000168,U000168,EX0004,Beginner,General Fitness,Mobility and Flexibility,Female,34,160.0,69.7,27.23,Overweight,2,Body Part Split,Commercial Gym,7,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0625,,0,,0,0,0,0.0,Safe
SAFE0000169,U000169,EX0004,Advanced,Fat Loss,Muscle Gain,Female,35,163.0,80.6,30.34,Obese,6,Push Pull Legs,Commercial Gym,6,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0513,,0,,0,0,0,0.0,Safe
SAFE0000170,U000170,EX0004,Advanced,Muscular Endurance,Mobility and Flexibility,Male,22,173.0,89.5,29.9,Overweight,2,Upper Lower,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000171,U000171,EX0004,Beginner,Athletic Performance,General Fitness,Male,19,172.0,90.3,30.52,Obese,6,Body Part Split,Commercial Gym,7,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0571,Mild Discomfort,1,,0,0,0,0.0,Safe
SAFE0000172,U000172,EX0004,Beginner,Muscle Gain,General Fitness,Male,33,183.0,92.7,27.68,Overweight,4,Upper Lower,Home Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.025,,0,,0,0,0,0.0,Safe
SAFE0000173,U000173,EX0004,Intermediate,Fat Loss,Muscle Gain,Male,42,188.0,93.0,26.31,Overweight,2,Body Part Split,Commercial Gym,6,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0312,Mild Discomfort,1,,0,0,0,0.0,Safe
SAFE0000174,U000174,EX0061,Advanced,Mobility and Flexibility,Athletic Performance,Male,18,171.0,87.4,29.89,Overweight,4,Push Pull Legs,Limited Gym,6,0,0,Resistance Training,Beginner,Beginner,3,1,2,1.5,1.0,2.0,1.0,2.0,"[""Extensor Carpi Radialis Longus"", ""Extensor Carpi Radialis Brevis"", ""Extensor Carpi Ulnaris""]","[""Extensor Digitorum""]","[""Barbell"", ""Bench""]",Wrist Extension,"[""Wrist""]","[""Acute wrist pain"", ""Tennis elbow""]",1,2,0.0,,0,,0,0,0,0.0,Safe
SAFE0000175,U000175,EX0095,Advanced,Athletic Performance,Mobility and Flexibility,Male,19,158.0,78.1,31.29,Obese,3,Push Pull Legs,Limited Gym,5,1,1,Resistance Training,Intermediate,Intermediate,2,3,1,4.0,4.5,3.5,3.5,5.5,"[""Anterior Deltoid"", ""Triceps Brachii""]","[""Quadriceps"", ""Gluteus Maximus"", ""Lateral Deltoid""]","[""Barbell""]",Vertical Push,"[""Shoulder"", ""Knee"", ""Lower Back""]","[""Shoulder impingement"", ""Lumbar spine instability""]",3,2,0.0244,,0,,0,0,0,0.0,Safe
SAFE0000176,U000176,EX0004,Intermediate,Fat Loss,Strength,Male,23,169.0,72.3,25.31,Overweight,4,Auto,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
