feedback_id,user_id,plan_id,history_session_id,history_item_id,plan_item_id,exercise_id,feedback_scope,feedback_type,rating,sentiment,difficulty_feedback,enjoyment_rating,fatigue_feedback,pain_feedback,pain_areas,duration_feedback,exercise_preference,progression_preference,requested_action,feedback_text,feedback_reason_tags,source_context,feedback_status,record_source,is_synthetic,created_at,updated_at
FB00003944,U000460,PLAN000960,WHS00017631,WHI000076932,WPI00016835,EX0180,Exercise,Preference,4,Positive,Appropriate,4,Not Applicable,No Pain,[],Not Applicable,Like,Maintain,Keep,"Bài Bird Dog dễ setup, cảm giác kiểm soát tốt nên tôi muốn tiếp tục duy trì. Lý do chính: Good fit. Mức đánh giá 4/5, sau khi hoàn thành phần chính.","[""Good fit""]",after_exercise,Active,Synthetic,True,2026-06-27T18:00:00,2026-08-12T08:36:22
FB00003945,U000459,PLAN000959,WHS00017630,WHI000076931,WPI00016821,EX0137,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Machine Bicep Curl vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi theo giáo án hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-06-28T18:00:00,2026-08-12T08:36:22
FB00003946,U000459,PLAN000959,WHS00017630,WHI000076930,WPI00016819,EX0025,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Reverse Pec Deck Fly khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-06-28T18:00:00,2026-08-12T08:36:22
FB00003947,U000459,PLAN000959,WHS00017630,WHI000076929,WPI00016820,EX0080,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Dumbbell Front Raise khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, trong nhịp tập tuần này.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-06-28T18:00:00,2026-08-12T08:36:22
FB00003948,U000459,PLAN000959,WHS00017628,WHI000076922,WPI00016807,EX0054,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Machine Pec Deck Fly đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở phần cuối buổi.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-21T18:00:00,2026-08-12T08:36:22
FB00003949,U000459,PLAN000959,WHS00017628,WHI000076921,WPI00016808,EX0080,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Dumbbell Front Raise đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi tập với mức hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-21T18:00:00,2026-08-12T08:36:22
FB00003950,U000459,PLAN000959,WHS00017628,WHI000076920,WPI00016809,EX0340,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Cable Kickback đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi xét cảm giác phục hồi.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-21T18:00:00,2026-08-12T08:36:22
FB00003951,U000459,PLAN000959,WHS00017628,WHI000076919,WPI00016810,EX0025,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Reverse Pec Deck Fly vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi theo giáo án hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-21T18:00:00,2026-08-12T08:36:22
FB00003952,U000459,PLAN000959,WHS00017628,WHI000076918,WPI00016812,EX0059,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Dumbbell Shrug đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, ở phần cuối buổi.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-21T18:00:00,2026-08-12T08:36:22
FB00003953,U000459,PLAN000959,WHS00017628,WHI000076917,WPI00016811,EX0004,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Push-Up đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi tập với mức hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-21T18:00:00,2026-08-12T08:36:22
FB00003954,U000459,PLAN000959,WHS00017627,WHI000076915,WPI00016804,EX0025,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Reverse Pec Deck Fly khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-22T18:00:00,2026-08-12T08:36:22
FB00003955,U000459,PLAN000959,WHS00017627,WHI000076914,WPI00016805,EX0080,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Dumbbell Front Raise vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi theo giáo án hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-22T18:00:00,2026-08-12T08:36:22
FB00003956,U000459,PLAN000959,WHS00017626,WHI000076913,WPI00016831,EX0054,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Machine Pec Deck Fly khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-23T18:00:00,2026-08-12T08:36:22
FB00003957,U000459,PLAN000959,WHS00017626,WHI000076912,WPI00016832,EX0044,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Seated Leg Curl vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi theo giáo án hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-23T18:00:00,2026-08-12T08:36:22
FB00003958,U000459,PLAN000959,WHS00017626,WHI000076911,WPI00016828,EX0075,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Sissy Squat vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, sau khi hoàn thành phần chính.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-23T18:00:00,2026-08-12T08:36:22
FB00003959,U000459,PLAN000959,WHS00017626,WHI000076910,WPI00016830,EX0084,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Pistol Squat vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi theo giáo án hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-23T18:00:00,2026-08-12T08:36:22
FB00003960,U000459,PLAN000959,WHS00017626,WHI000076908,WPI00016833,EX0277,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Crab Walk khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, trong lần đánh giá hôm nay.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-07-23T18:00:00,2026-08-12T08:36:22
FB00003961,U000459,PLAN000959,WHS00017625,WHI000076907,WPI00016822,EX0080,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Dumbbell Front Raise khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, trong nhịp tập tuần này.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-05T18:00:00,2026-08-12T08:36:22
FB00003962,U000459,PLAN000959,WHS00017625,WHI000076906,WPI00016823,EX0340,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Cable Kickback khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-05T18:00:00,2026-08-12T08:36:22
FB00003963,U000459,PLAN000959,WHS00017625,WHI000076905,WPI00016825,EX0137,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Machine Bicep Curl khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, trong nhịp tập tuần này.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-05T18:00:00,2026-08-12T08:36:22
FB00003964,U000459,PLAN000959,WHS00017625,WHI000076904,WPI00016827,EX0025,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Reverse Pec Deck Fly khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-05T18:00:00,2026-08-12T08:36:22
FB00003965,U000459,PLAN000959,WHS00017625,WHI000076903,WPI00016826,EX0004,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Push-Up khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, trong nhịp tập tuần này.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-05T18:00:00,2026-08-12T08:36:22
FB00003966,U000459,PLAN000959,WHS00017625,WHI000076902,WPI00016824,EX0154,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Medicine Ball Slam khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-05T18:00:00,2026-08-12T08:36:22
FB00003967,U000459,PLAN000959,WHS00017624,WHI000076901,WPI00016821,EX0137,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Machine Bicep Curl khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, trong nhịp tập tuần này.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-06T18:00:00,2026-08-12T08:36:22
FB00003968,U000459,PLAN000959,WHS00017624,WHI000076900,WPI00016819,EX0025,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Reverse Pec Deck Fly đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở phần cuối buổi.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-06T18:00:00,2026-08-12T08:36:22
FB00003969,U000459,PLAN000959,WHS00017624,WHI000076899,WPI00016820,EX0080,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Dumbbell Front Raise đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi tập với mức hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-06T18:00:00,2026-08-12T08:36:22
FB00003970,U000459,PLAN000959,WHS00017623,WHI000076898,WPI00016816,EX0075,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Sissy Squat đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi xét cảm giác phục hồi.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-07T18:00:00,2026-08-12T08:36:22
FB00003971,U000459,PLAN000959,WHS00017623,WHI000076897,WPI00016817,EX0025,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Reverse Pec Deck Fly khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, trong nhịp tập tuần này.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-07T18:00:00,2026-08-12T08:36:22
FB00003972,U000459,PLAN000959,WHS00017623,WHI000076896,WPI00016814,EX0026,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Plank vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, sau khi hoàn thành phần chính.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-07T18:00:00,2026-08-12T08:36:22
FB00003973,U000459,PLAN000959,WHS00017623,WHI000076895,WPI00016818,EX0084,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Pistol Squat khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, trong nhịp tập tuần này.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-07T18:00:00,2026-08-12T08:36:22
FB00003974,U000459,PLAN000959,WHS00017623,WHI000076893,WPI00016813,EX0277,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Crab Walk đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, ở phần cuối buổi.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-07T18:00:00,2026-08-12T08:36:22
FB00003975,U000459,PLAN000959,WHS00017622,WHI000076892,WPI00016807,EX0054,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Machine Pec Deck Fly đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi tập với mức hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-08T18:00:00,2026-08-12T08:36:22
FB00003976,U000459,PLAN000959,WHS00017622,WHI000076891,WPI00016808,EX0080,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Dumbbell Front Raise khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-08T18:00:00,2026-08-12T08:36:22
FB00003977,U000459,PLAN000959,WHS00017622,WHI000076890,WPI00016809,EX0340,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Cable Kickback vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi theo giáo án hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-08T18:00:00,2026-08-12T08:36:22
FB00003978,U000459,PLAN000959,WHS00017622,WHI000076889,WPI00016810,EX0025,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Reverse Pec Deck Fly đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở phần cuối buổi.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-08T18:00:00,2026-08-12T08:36:22
FB00003979,U000459,PLAN000959,WHS00017622,WHI000076888,WPI00016812,EX0059,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Dumbbell Shrug đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi tập với mức hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-08T18:00:00,2026-08-12T08:36:22
FB00003980,U000459,PLAN000959,WHS00017622,WHI000076887,WPI00016811,EX0004,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Push-Up khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, trong lần đánh giá hôm nay.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-08T18:00:00,2026-08-12T08:36:22
FB00003981,U000459,PLAN000959,WHS00017621,WHI000076886,WPI00016806,EX0137,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Machine Bicep Curl vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi theo giáo án hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-09T18:00:00,2026-08-12T08:36:22
FB00003982,U000459,PLAN000959,WHS00017621,WHI000076885,WPI00016804,EX0025,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Reverse Pec Deck Fly khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-09T18:00:00,2026-08-12T08:36:22
FB00003983,U000459,PLAN000959,WHS00017621,WHI000076884,WPI00016805,EX0080,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Dumbbell Front Raise đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi tập với mức hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-09T18:00:00,2026-08-12T08:36:22
FB00003984,U000459,PLAN000959,WHS00017620,WHI000076883,WPI00016831,EX0054,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Machine Pec Deck Fly đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở phần cuối buổi.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-10T18:00:00,2026-08-12T08:36:22
FB00003985,U000459,PLAN000959,WHS00017620,WHI000076882,WPI00016832,EX0044,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Seated Leg Curl khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, trong nhịp tập tuần này.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-10T18:00:00,2026-08-12T08:36:22
FB00003986,U000459,PLAN000959,WHS00017620,WHI000076881,WPI00016828,EX0075,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Sissy Squat vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, sau khi hoàn thành phần chính.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-10T18:00:00,2026-08-12T08:36:22
FB00003987,U000459,PLAN000959,WHS00017620,WHI000076880,WPI00016830,EX0084,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Bài Pistol Squat vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi theo giáo án hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-10T18:00:00,2026-08-12T08:36:22
FB00003988,U000459,PLAN000959,WHS00017620,WHI000076879,WPI00016829,EX0042,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Dumbbell Romanian Deadlift khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-10T18:00:00,2026-08-12T08:36:22
FB00003989,U000459,PLAN000959,WHS00017620,WHI000076878,WPI00016833,EX0277,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Crab Walk đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi tập với mức hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-01-10T18:00:00,2026-08-12T08:36:22
FB00003990,U000459,PLAN000959,WHS00017619,WHI000076877,WPI00016822,EX0080,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Dumbbell Front Raise đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi xét cảm giác phục hồi.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-02-01T18:00:00,2026-08-12T08:36:22
FB00003991,U000459,PLAN000959,WHS00017619,WHI000076876,WPI00016823,EX0340,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Cable Kickback khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, trong nhịp tập tuần này.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-02-01T18:00:00,2026-08-12T08:36:22
FB00003992,U000459,PLAN000959,WHS00017619,WHI000076875,WPI00016825,EX0137,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Machine Bicep Curl khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-02-01T18:00:00,2026-08-12T08:36:22
FB00003993,U000459,PLAN000959,WHS00017619,WHI000076874,WPI00016827,EX0025,Exercise,Preference,5,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Tôi thấy Reverse Pec Deck Fly đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi tập với mức hiện tại.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-02-01T18:00:00,2026-08-12T08:36:22
FB00003994,U000459,PLAN000959,WHS00017619,WHI000076873,WPI00016826,EX0004,Exercise,Preference,4,Positive,Too Easy,4,Not Applicable,No Pain,[],Not Applicable,Like,Increase Difficulty,Increase Difficulty,"Push-Up khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, ở lần ghi nhận gần đây.","[""Good fit"",""Too easy""]",after_exercise,Active,Synthetic,True,2026-02-01T18:00:00,2026-08-12T08:36:22
