plan_id,user_id,username_snapshot,primary_goal_snapshot,secondary_goal_snapshot,training_level_snapshot,plan_name,plan_type,plan_start_date,plan_end_date,duration_weeks,days_per_week,split_type,session_duration_target_min,progression_strategy,weekly_set_target,session_volume_target,deload_strategy,plan_status,generation_source,generator_version,plan_version,exercise_item_count,rationale,safety_notes,created_at,updated_at
PLAN000276,U000276,bao276,Muscular Endurance,Fat Loss,Intermediate,8-Week Muscular Endurance - Auto,Personalized,2026-08-10,2026-10-04,8,4,Auto,75,RPE-Based,24,6,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,12,"Generated from U000276 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000277,U000277,phong277,Athletic Performance,Muscle Gain,Intermediate,8-Week Athletic Performance - Body Part Split,Personalized,2026-08-10,2026-10-04,8,4,Body Part Split,75,Linear Progression,54,13.5,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,21,"Generated from U000277 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000278,U000278,son278,Athletic Performance,Muscle Gain,Intermediate,8-Week Athletic Performance - Auto,Personalized,2026-08-10,2026-10-04,8,5,Auto,75,Auto,78,15.6,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,35,"Generated from U000278 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000279,U000279,huong279,Fat Loss,Strength,Advanced,8-Week Fat Loss - Auto,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,75,Auto,42,14,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,21,"Generated from U000279 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000280,U000280,khoa280,General Fitness,Muscle Gain,Beginner,8-Week General Fitness - Auto,Personalized,2026-08-10,2026-10-04,8,4,Auto,60,Auto,48,12,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,24,"Generated from U000280 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000281,U000281,anh281,Muscle Gain,Fat Loss,Beginner,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,6,Upper Lower,60,Linear Progression,30,5,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,12,"Generated from U000281 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000282,U000282,minh282,Mobility and Flexibility,Fat Loss,Beginner,8-Week Mobility and Flexibility - Upper Lower,Personalized,2026-08-10,2026-10-04,8,2,Upper Lower,60,Double Progression,24,12,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,12,"Generated from U000282 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000283,U000283,dat283,Rehabilitation and Joint Health,Fat Loss,Advanced,8-Week Rehabilitation and Joint Health - Auto,Personalized,2026-08-10,2026-10-04,8,5,Auto,60,Linear Progression,40,8,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,20,"Generated from U000283 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000284,U000284,anh284,Muscle Gain,Strength,Intermediate,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,2,Upper Lower,60,Double Progression,6,3,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,2,"Generated from U000284 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000285,U000285,dat285,Muscular Endurance,Athletic Performance,Advanced,8-Week Muscular Endurance - Auto,Personalized,2026-08-10,2026-10-04,8,4,Upper Lower,75,Linear Progression,56,14,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,28,"Generated from U000285 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000286,U000286,phong286,Muscle Gain,Muscular Endurance,Intermediate,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,2,Chest Back Legs,90,RPE-Based,48,24,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,16,"Generated from U000286 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000287,U000287,mai287,General Fitness,Muscular Endurance,Intermediate,8-Week General Fitness - Auto,Personalized,2026-08-10,2026-10-04,8,2,Chest Back Legs,60,Double Progression,4,2,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,2,"Generated from U000287 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000288,U000288,ha288,Mobility and Flexibility,Muscular Endurance,Beginner,8-Week Mobility and Flexibility - Body Part Split,Personalized,2026-08-10,2026-10-04,8,2,Body Part Split,75,Linear Progression,14,7,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,7,"Generated from U000288 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000289,U000289,ngoc289,Rehabilitation and Joint Health,Muscle Gain,Beginner,8-Week Rehabilitation and Joint Health - Push Pull Legs,Personalized,2026-08-10,2026-10-04,8,5,Push Pull Legs,60,Double Progression,40,8,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,20,"Generated from U000289 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T08:30,2026-08-10T08:30
PLAN000290,U000290,phuong290,Athletic Performance,Strength,Intermediate,8-Week Athletic Performance - Auto,Personalized,2026-08-10,2026-10-04,8,3,Auto,75,Linear Progression,55,18.33,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,21,"Generated from U000290 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000291,U000291,long291,Strength,Rehabilitation and Joint Health,Advanced,8-Week Strength - Auto,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,45,Double Progression,38,12.67,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,15,"Generated from U000291 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000292,U000292,lan292,General Fitness,Muscular Endurance,Beginner,8-Week General Fitness - Auto,Personalized,2026-08-10,2026-10-04,8,5,Auto,75,Linear Progression,36,7.2,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,25,"Generated from U000292 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000293,U000293,tuan293,Muscle Gain,General Fitness,Beginner,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,4,Push Pull Legs,75,Double Progression,62,15.5,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,28,"Generated from U000293 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000294,U000294,ha294,Mobility and Flexibility,General Fitness,Advanced,8-Week Mobility and Flexibility - Body Part Split,Personalized,2026-08-10,2026-10-04,8,4,Body Part Split,45,RPE-Based,28,7,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000294 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000295,U000295,son295,Mobility and Flexibility,Strength,Intermediate,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,4,Upper Lower,60,Linear Progression,48,12,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,24,"Generated from U000295 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000296,U000296,mai296,Muscular Endurance,General Fitness,Beginner,8-Week Muscular Endurance - Auto,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,75,Auto,42,14,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,21,"Generated from U000296 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000297,U000297,long297,Mobility and Flexibility,Strength,Advanced,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,6,Auto,45,Auto,60,10,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,30,"Generated from U000297 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000298,U000298,lan298,Rehabilitation and Joint Health,Fat Loss,Intermediate,8-Week Rehabilitation and Joint Health - Body Part Split,Personalized,2026-08-10,2026-10-04,8,5,Body Part Split,60,Linear Progression,38,7.6,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,19,"Generated from U000298 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000299,U000299,dung299,Muscle Gain,Mobility and Flexibility,Advanced,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,5,Push Pull Legs,90,RPE-Based,120,24,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,40,"Generated from U000299 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000300,U000300,thanh300,Fat Loss,Muscular Endurance,Advanced,8-Week Fat Loss - Auto,Personalized,2026-08-10,2026-10-04,8,6,Push Pull Legs,45,Double Progression,60,10,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,30,"Generated from U000300 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000301,U000301,son301,Muscle Gain,General Fitness,Intermediate,8-Week Muscle Gain - Full Body,Personalized,2026-08-10,2026-10-04,8,3,Full Body,60,RPE-Based,63,21,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,21,"Generated from U000301 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000302,U000302,phuong302,Rehabilitation and Joint Health,Muscle Gain,Intermediate,8-Week Rehabilitation and Joint Health - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,90,Auto,8,2.67,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,4,"Generated from U000302 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000303,U000303,tuan303,Muscle Gain,Fat Loss,Advanced,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,2,Chest Back Legs,75,Linear Progression,24,12,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,8,"Generated from U000303 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000304,U000304,khoa304,Athletic Performance,General Fitness,Advanced,8-Week Athletic Performance - Auto,Personalized,2026-08-10,2026-10-04,8,6,Auto,45,Auto,78,13,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,30,"Generated from U000304 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000305,U000305,khoa305,General Fitness,Rehabilitation and Joint Health,Beginner,8-Week General Fitness - Auto,Personalized,2026-08-10,2026-10-04,8,6,Push Pull Legs,45,Linear Progression,54,9,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,30,"Generated from U000305 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000306,U000306,phuong306,Muscular Endurance,Athletic Performance,Advanced,8-Week Muscular Endurance - Auto,Personalized,2026-08-10,2026-10-04,8,2,Auto,90,Auto,8,4,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,4,"Generated from U000306 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000307,U000307,linh307,Muscular Endurance,Strength,Intermediate,8-Week Muscular Endurance - Auto,Personalized,2026-08-10,2026-10-04,8,4,Auto,60,Auto,48,12,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,24,"Generated from U000307 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000308,U000308,trang308,General Fitness,Rehabilitation and Joint Health,Advanced,8-Week General Fitness - Upper Lower,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,90,RPE-Based,48,16,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,24,"Generated from U000308 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000309,U000309,trang309,General Fitness,Mobility and Flexibility,Intermediate,8-Week General Fitness - Auto,Personalized,2026-08-10,2026-10-04,8,6,Upper Lower,90,Double Progression,88,14.67,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,48,"Generated from U000309 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000310,U000310,linh310,Athletic Performance,Strength,Intermediate,8-Week Athletic Performance - Auto,Personalized,2026-08-10,2026-10-04,8,2,Upper Lower,60,Double Progression,10,5,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,4,"Generated from U000310 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000311,U000311,lan311,Athletic Performance,Mobility and Flexibility,Beginner,8-Week Athletic Performance - Body Part Split,Personalized,2026-08-10,2026-10-04,8,2,Body Part Split,45,Auto,16,8,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,6,"Generated from U000311 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000312,U000312,hoang312,Athletic Performance,Muscular Endurance,Beginner,8-Week Athletic Performance - Auto,Personalized,2026-08-10,2026-10-04,8,4,Auto,90,Linear Progression,36,9,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,16,"Generated from U000312 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000313,U000313,dat313,Mobility and Flexibility,General Fitness,Intermediate,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,60,Auto,10,3.33,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,6,"Generated from U000313 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000314,U000314,dat314,Muscle Gain,General Fitness,Advanced,8-Week Muscle Gain - Push Pull Legs,Personalized,2026-08-10,2026-10-04,8,3,Push Pull Legs,90,Linear Progression,45,15,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,15,"Generated from U000314 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000315,U000315,huong315,Athletic Performance,Mobility and Flexibility,Advanced,8-Week Athletic Performance - Full Body,Personalized,2026-08-10,2026-10-04,8,2,Full Body,90,Linear Progression,43,21.5,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,16,"Generated from U000315 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000316,U000316,minh316,Muscular Endurance,Fat Loss,Advanced,8-Week Muscular Endurance - Auto,Personalized,2026-08-10,2026-10-04,8,5,Auto,60,Linear Progression,60,12,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,30,"Generated from U000316 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000317,U000317,trang317,Rehabilitation and Joint Health,Muscle Gain,Beginner,8-Week Rehabilitation and Joint Health - Auto,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,75,Auto,8,2,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,4,"Generated from U000317 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000318,U000318,trang318,Fat Loss,Strength,Intermediate,8-Week Fat Loss - Auto,Personalized,2026-08-10,2026-10-04,8,6,Auto,75,Double Progression,78,13,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,42,"Generated from U000318 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000319,U000319,lan319,Strength,Rehabilitation and Joint Health,Beginner,8-Week Strength - Auto,Personalized,2026-08-10,2026-10-04,8,5,Auto,60,RPE-Based,58,11.6,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,25,"Generated from U000319 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000320,U000320,long320,Mobility and Flexibility,Rehabilitation and Joint Health,Advanced,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,45,Auto,18,6,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,9,"Generated from U000320 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000321,U000321,viet321,Strength,Muscle Gain,Advanced,8-Week Strength - Push Pull Legs,Personalized,2026-08-10,2026-10-04,8,3,Push Pull Legs,75,Auto,34,11.33,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000321 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000322,U000322,dung322,Muscle Gain,Muscular Endurance,Advanced,8-Week Muscle Gain - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,75,Linear Progression,18,6,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,6,"Generated from U000322 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000323,U000323,duc323,Mobility and Flexibility,Muscle Gain,Beginner,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,45,Double Progression,30,10,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,15,"Generated from U000323 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000324,U000324,ngoc324,Athletic Performance,Muscle Gain,Advanced,8-Week Athletic Performance - Auto,Personalized,2026-08-10,2026-10-04,8,2,Chest Back Legs,90,Linear Progression,30,15,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,10,"Generated from U000324 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000325,U000325,tuan325,Rehabilitation and Joint Health,Strength,Advanced,8-Week Rehabilitation and Joint Health - Auto,Personalized,2026-08-10,2026-10-04,8,6,Auto,90,Auto,96,16,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,48,"Generated from U000325 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000326,U000326,long326,Fat Loss,Muscle Gain,Intermediate,8-Week Fat Loss - Body Part Split,Personalized,2026-08-10,2026-10-04,8,6,Body Part Split,60,Double Progression,24,4,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,12,"Generated from U000326 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000327,U000327,ha327,Fat Loss,Athletic Performance,Intermediate,8-Week Fat Loss - Upper Lower,Personalized,2026-08-10,2026-10-04,8,2,Upper Lower,75,Auto,22,11,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,11,"Generated from U000327 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000328,U000328,trang328,Rehabilitation and Joint Health,Muscular Endurance,Beginner,8-Week Rehabilitation and Joint Health - Auto,Personalized,2026-08-10,2026-10-04,8,6,Push Pull Legs,90,Double Progression,48,8,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,24,"Generated from U000328 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000329,U000329,viet329,Mobility and Flexibility,Muscular Endurance,Intermediate,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,6,Auto,75,Double Progression,75,12.5,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,42,"Generated from U000329 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000330,U000330,quang330,General Fitness,Athletic Performance,Advanced,8-Week General Fitness - Auto,Personalized,2026-08-10,2026-10-04,8,2,Auto,75,Auto,28,14,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000330 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000331,U000331,bao331,Strength,Muscle Gain,Beginner,8-Week Strength - Auto,Personalized,2026-08-10,2026-10-04,8,4,Auto,75,Auto,58,14.5,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,28,"Generated from U000331 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000332,U000332,ngoc332,Strength,General Fitness,Intermediate,8-Week Strength - Auto,Personalized,2026-08-10,2026-10-04,8,4,Auto,45,Linear Progression,44,11,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,20,"Generated from U000332 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000333,U000333,anh333,Muscular Endurance,Muscle Gain,Intermediate,8-Week Muscular Endurance - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,6,Chest Back Legs,45,Linear Progression,50,8.33,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,26,"Generated from U000333 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000334,U000334,nam334,Rehabilitation and Joint Health,Muscular Endurance,Intermediate,8-Week Rehabilitation and Joint Health - Push Pull Legs,Personalized,2026-08-10,2026-10-04,8,6,Push Pull Legs,45,Auto,56,9.33,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,28,"Generated from U000334 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000335,U000335,phuong335,Muscular Endurance,Fat Loss,Beginner,8-Week Muscular Endurance - Upper Lower,Personalized,2026-08-10,2026-10-04,8,2,Upper Lower,60,Auto,20,10,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,10,"Generated from U000335 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000336,U000336,trang336,Strength,Athletic Performance,Beginner,8-Week Strength - Full Body,Personalized,2026-08-10,2026-10-04,8,2,Auto,60,RPE-Based,35,17.5,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000336 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
